b = 154687634323, a = 363, e = 60, n = 1284717778837
b = 1030389195893, a = 364, e = 60, n = 1284717778837
b = 141403980208, a = 365, e = 60, n = 1284717778837
b = 1162904503654, a = 366, e = 60, n = 1284717778837
b = 200017526410, a = 367, e = 60, n = 1284717778837
b = 208969866926, a = 368, e = 60, n = 1284717778837
b = 1171545223263, a = 369, e = 60, n = 1284717778837
b = 860082903631, a = 370, e = 60, n = 1284717778837
b = 30600492966, a = 371, e = 60, n = 1284717778837
b = 1244145239334, a = 372, e = 60, n = 1284717778837
b = 858310481524, a = 373, e = 60, n = 1284717778837
b = 52547482422, a = 374, e = 60, n = 1284717778837
b = 154149066937, a = 375, e = 60, n = 1284717778837
b = 1064154153899, a = 376, e = 60, n = 1284717778837
b = 57192584762, a = 377, e = 60, n = 1284717778837
b = 242677361271, a = 378, e = 60, n = 1284717778837
b = 664897308759, a = 379, e = 60, n = 1284717778837
b = 1090545714343, a = 380, e = 60, n = 1284717778837
b = 1180417322225, a = 381, e = 60, n = 1284717778837
b = 883387523664, a = 382, e = 60, n = 1284717778837
b = 137055055355, a = 383, e = 60, n = 1284717778837
b = 1195745214071, a = 384, e = 60, n = 1284717778837
b = 197916825863, a = 385, e = 60, n = 1284717778837
b = 462039348620, a = 386, e = 60, n = 1284717778837
b = 1253514555000, a = 387, e = 60, n = 1284717778837
b = 220706127633, a = 388, e = 60, n = 1284717778837
b = 757770561420, a = 389, e = 60, n = 1284717778837
b = 855561239080, a = 390, e = 60, n = 1284717778837
b = 329070252193, a = 391, e = 60, n = 1284717778837
b = 1266370417017, a = 392, e = 60, n = 1284717778837
b = 306996643080, a = 393, e = 60, n = 1284717778837
b = 404902516391, a = 394, e = 60, n = 1284717778837
b = 223854970882, a = 395, e = 60, n = 1284717778837
b = 177417168809, a = 396, e = 60, n = 1284717778837
b = 525517770021, a = 397, e = 60, n = 1284717778837
b = 413777228995, a = 398, e = 60, n = 1284717778837
b = 1259503777544, a = 399, e = 60, n = 1284717778837
b = 1185191274669, a = 400, e = 60, n = 1284717778837
b = 1237055704817, a = 401, e = 60, n = 1284717778837
b = 1059866124864, a = 402, e = 60, n = 1284717778837
b = 1139069512555, a = 403, e = 60, n = 1284717778837
b = 238572187492, a = 403, e = 420, n = 1284717778837
b = 844184110188, a = 404, e = 420, n = 1284717778837
b = 180801503662, a = 405, e = 420, n = 1284717778837
b = 209991338572, a = 406, e = 420, n = 1284717778837
b = 875646634675, a = 407, e = 420, n = 1284717778837
b = 868876933982, a = 408, e = 420, n = 1284717778837
b = 1084405263354, a = 409, e = 420, n = 1284717778837
b = 1004035543085, a = 410, e = 420, n = 1284717778837
b = 1061396109195, a = 411, e = 420, n = 1284717778837
b = 217549211118, a = 412, e = 420, n = 1284717778837
b = 1221618612952, a = 413, e = 420, n = 1284717778837
b = 653335053336, a = 414, e = 420, n = 1284717778837
b = 124833097916, a = 415, e = 420, n = 1284717778837
b = 1080362899790, a = 416, e = 420, n = 1284717778837
b = 621786757138, a = 417, e = 420, n = 1284717778837
b = 988938432782, a = 418, e = 420, n = 1284717778837
b = 137957250032, a = 419, e = 420, n = 1284717778837
b = 117761578253, a = 420, e = 420, n = 1284717778837
b = 1099590331749, a = 421, e = 420, n = 1284717778837
